DADR2                0xFFFFFDAC
DADR3                0xFFFFFDAD
DACR23               0xFFFFFDAE
IrCR                 0xFFFFFDB0
SCRX                 0xFFFFFDB4
DDCSWR               0xFFFFFDB5
DADRAH0/DACR0        0xFFFFFDB8
DADRAL0              0xFFFFFDB9
DADRBH0/DACNTH0       0xFFFFFDBA
DADRBL0/DACNTL0       0xFFFFFDBB
DADRAH1/DACR1        0xFFFFFDBC
DADRAL1              0xFFFFFDBD
DADRBH1/DACNTH1       0xFFFFFDBE
DADRBL1/DACNTL1       0xFFFFFDBF
TCR2                 0xFFFFFDC0
TCR3                 0xFFFFFDC1
TCSR2                0xFFFFFDC2
TCSR3                0xFFFFFDC3
TCORA2               0xFFFFFDC4
TCORA3               0xFFFFFDC5
TCORB2               0xFFFFFDC6
TCORB3               0xFFFFFDC7
TCNT2                0xFFFFFDC8
TCNT3                0xFFFFFDC9
SMR3                 0xFFFFFDD0
BRR3                 0xFFFFFDD1
SCR3                 0xFFFFFDD2
TDR3                 0xFFFFFDD3
SSR3                 0xFFFFFDD4
RDR3                 0xFFFFFDD5
SCMR3                0xFFFFFDD6
SMR4                 0xFFFFFDD8
BRR4                 0xFFFFFDD9
SCR4                 0xFFFFFDDA
TDR4                 0xFFFFFDDB
SSR4                 0xFFFFFDDC
RDR4                 0xFFFFFDDD
SCMR4                0xFFFFFDDE
SBYCR                0xFFFFFDE4
SYSCR                0xFFFFFDE5
SCKCR                0xFFFFFDE6
MDCR                 0xFFFFFDE7
MSTPCRA              0xFFFFFDE8
MSTPCRB              0xFFFFFDE9
MSTPCRC              0xFFFFFDEA
PFCR                 0xFFFFFDEB
LPWRCR               0xFFFFFDEC
BARA                 0xFFFFFE00
BAA23                0xFFFFFE01
BAA15                0xFFFFFE02
BAA7                 0xFFFFFE03
BARB                 0xFFFFFE04
BAA23_2              0xFFFFFE05
BAA15_2              0xFFFFFE06
BAA7_2               0xFFFFFE07
BCRA                 0xFFFFFE08
BCRB                 0xFFFFFE09
ISCRH                0xFFFFFE12
ISCRL                0xFFFFFE13
IER                  0xFFFFFE14
ISR                  0xFFFFFE15
DTCERA               0xFFFFFE16
DTCERB               0xFFFFFE17
DTCERC               0xFFFFFE18
DTCERD               0xFFFFFE19
DTCERE               0xFFFFFE1A
DTCERF               0xFFFFFE1B
DTCERI               0xFFFFFE1E
DTVECR               0xFFFFFE1F
PCR                  0xFFFFFE26
PMR                  0xFFFFFE27
NDERH                0xFFFFFE28
NDERL                0xFFFFFE29
PODRH                0xFFFFFE2A
PODRL                0xFFFFFE2B
NDRH                 0xFFFFFE2C
NDRL                 0xFFFFFE2D
NDRH_2               0xFFFFFE2E
NDRL_2               0xFFFFFE2F
P1DDR                0xFFFFFE30
P3DDR                0xFFFFFE32
P7DDR                0xFFFFFE36
PADDR                0xFFFFFE39
PBDDR                0xFFFFFE3A
PCDDR                0xFFFFFE3B
PDDDR                0xFFFFFE3C
PEDDR                0xFFFFFE3D
PFDDR                0xFFFFFE3E
PGDDR                0xFFFFFE3F
PAPCR                0xFFFFFE40
PBPCR                0xFFFFFE41
PCPCR                0xFFFFFE42
PDPCR                0xFFFFFE43
PEPCR                0xFFFFFE44
P3ODR                0xFFFFFE46
PAODR                0xFFFFFE47
PBODR                0xFFFFFE48
PCODR                0xFFFFFE49
TCR3                 0xFFFFFE80
TMDR3                0xFFFFFE81
TIOR3H               0xFFFFFE82
TIOR3L               0xFFFFFE83
TIER3                0xFFFFFE84
TSR3                 0xFFFFFE85
TCNT3                0xFFFFFE86
